Gender,Age,Annual Income ($),Spending Score (1-100),Work Experience,Family Size,Profession
Female,79,31000,91,3,3,Engineer
Male,62,87000,41,6,2,Doctor
Male,17,79000,16,1,3,Artist
Male,32,32000,86,5,2,Entertainment
Male,85,153787,100,3,3,Entertainment
Male,31,95851,16,5,2,Healthcare
Female,31,145015,73,6,3,Healthcare
Female,38,148539,7,5,2,Healthcare
Female,90,117319,21,1,2,Lawyer
Female,65,180243,26,6,2,Marketing
Female,63,165052,12,4,2,Artist
Female,61,120487,14,0,2,Doctor
Male,26,112766,83,8,4,Engineer
Female,17,156488,65,1,4,Engineer
Male,56,97562,15,5,6,Executive
Female,12,77501,30,5,4,Engineer
Female,24,118302,100,5,1,Lawyer
Female,13,64277,9,9,4,Executive
Male,12,53927,77,2,3,Doctor
Male,72,93921,93,9,2,Lawyer
Female,54,132046,8,4,4,Homemaker
Male,45,183217,91,7,2,Artist
Male,66,182937,44,8,1,Marketing
Female,27,68272,56,8,4,Healthcare
Male,36,69841,21,10,2,Engineer
Male,5,69078,60,13,1,Lawyer
Female,89,110667,100,2,4,Healthcare
Male,13,95469,94,6,1,Doctor
Female,91,102861,40,4,1,Artist
Male,16,133551,7,3,1,Artist
Female,63,64589,90,7,1,Engineer
Male,52,152755,39,4,2,Engineer
Female,37,92313,58,1,5,Healthcare
Female,78,98922,2,2,3,Artist
Male,24,165846,33,0,4,Engineer
Female,4,93713,62,3,4,Engineer
Male,84,137641,67,0,5,Healthcare
Male,0,173743,96,0,4,Artist
Female,67,116126,58,10,2,Entertainment
Female,32,112246,30,8,3,Healthcare
Female,39,69384,75,1,5,Healthcare
Female,68,76529,62,0,2,Healthcare
Female,7,123804,28,14,1,Doctor
Female,76,68292,55,8,2,Artist
Female,84,173185,99,3,1,Artist
Male,75,142034,82,1,4,Entertainment
Male,22,107941,61,0,1,Artist
Female,90,149840,61,1,1,Engineer
Female,4,148431,99,1,8,Healthcare
Female,78,126599,84,0,3,Lawyer
Female,58,57180,22,9,1,Healthcare
Female,99,184426,41,9,1,Artist
Female,24,151085,39,2,5,Marketing
Female,88,166107,98,13,4,Artist
Female,92,67850,91,9,4,Artist
Male,99,173394,4,13,1,Engineer
Female,51,72303,98,7,1,Lawyer
Male,23,181760,35,14,3,Healthcare
Female,13,146858,75,9,1,Doctor
Male,22,172923,20,6,1,Engineer
Female,89,115811,87,11,4,Homemaker
Male,20,184324,51,13,5,Marketing
Female,72,67353,19,9,3,Lawyer
Male,17,165999,71,9,3,Healthcare
Male,90,164914,18,8,3,Artist
Male,99,63364,61,1,2,Entertainment
Female,39,182352,73,4,3,Engineer
Female,37,148544,56,1,2,Entertainment
Male,46,62833,85,1,2,Artist
Male,65,120627,72,0,2,Healthcare
Female,60,130898,30,1,1,Artist
Female,93,103130,74,12,3,Executive
Male,72,106681,15,9,5,Healthcare
Female,36,87353,25,1,5,Entertainment
Male,52,88046,61,8,1,Artist
Female,72,98168,49,1,2,Entertainment
Female,28,178265,5,2,1,Lawyer
Female,48,167232,92,6,4,Doctor
Male,85,140478,43,6,4,Doctor
Male,22,159296,83,8,1,Artist
Female,30,144043,78,1,1,Doctor
Male,46,72594,64,1,2,Artist
Female,82,180288,77,2,2,Artist
Female,73,165734,51,0,1,Entertainment
Male,8,175407,2,5,1,Artist
Male,90,70201,8,0,2,Engineer
Male,34,91503,26,0,6,Artist
Female,10,184522,43,0,2,Artist
Female,79,143560,83,1,3,Artist
Male,83,131574,97,1,2,Artist
Female,20,151124,18,15,3,Artist
Female,25,67447,5,15,2,Artist
Female,26,117454,8,16,2,Healthcare
Female,18,86203,23,13,1,Doctor
Female,7,136231,10,7,1,Artist
Male,1,89144,1,12,2,Doctor
Male,21,119116,30,17,4,Artist
Female,86,163463,31,9,4,Artist
Female,75,151696,82,15,1,Artist
Male,78,184736,52,13,1,Lawyer
Female,87,70419,69,6,4,Homemaker
Female,8,119104,41,14,3,Entertainment
Male,59,130950,28,5,3,Executive
Male,13,140950,77,15,2,Artist
Female,55,82285,35,16,1,Engineer
Female,50,91389,92,11,7,Healthcare
Male,54,186359,95,13,2,Doctor
Male,13,178989,46,14,3,Doctor
Male,79,166335,45,5,5,Engineer
Female,65,119889,11,17,6,Artist
Female,51,66852,73,15,3,Executive
Male,18,103896,36,16,4,Executive
Male,21,187761,87,2,3,Healthcare
Male,37,102717,93,7,4,Healthcare
Male,83,102647,83,0,2,Entertainment
Female,96,113585,31,0,4,Lawyer
Female,65,86509,88,0,4,Artist
Male,80,59099,44,1,7,Marketing
Female,75,135088,5,1,5,Lawyer
Female,87,110870,78,1,4,Engineer
Female,86,187667,12,0,1,Artist
Female,36,124614,25,8,5,Artist
Female,78,166492,40,9,7,Homemaker
Female,62,172758,69,1,2,Entertainment
Male,89,122430,19,1,1,Healthcare
Female,56,183540,96,0,6,Entertainment
Female,35,96484,34,5,4,Artist
Male,33,112587,71,1,4,Artist
Female,58,155672,71,7,7,Entertainment
Female,68,72847,93,1,2,Artist
Male,38,71897,32,2,3,Entertainment
Male,31,158479,57,1,5,Doctor
Male,90,89251,4,1,1,Entertainment
Male,28,179911,24,1,1,Engineer
Male,1,111558,85,7,4,Healthcare
Male,78,127615,78,10,7,Executive
Female,23,50076,32,3,5,Artist
Female,25,77779,62,4,1,Artist
Male,59,169999,38,5,5,Engineer
Female,7,106581,76,1,7,Doctor
Female,24,78223,41,0,1,Lawyer
Male,76,136259,14,0,7,
Male,37,153399,93,1,6,Entertainment
Female,6,162858,91,0,1,Artist
Female,0,57373,29,0,7,
Male,3,133602,47,1,1,Artist
Female,95,66322,88,0,3,Artist
Female,0,68761,16,1,4,Lawyer
Male,7,70749,86,13,3,Artist
Male,54,65874,87,7,6,Artist
Male,89,115996,24,15,1,Engineer
Female,58,67097,91,6,1,Engineer
Female,12,108027,64,13,5,Artist
Male,7,176349,80,8,2,Healthcare
Male,11,88452,40,8,6,Healthcare
Male,74,128266,55,7,4,Engineer
Female,64,156777,20,7,2,Healthcare
Female,48,123234,50,10,7,Lawyer
Female,8,60790,38,1,5,Artist
Female,15,181332,99,14,6,Artist
Male,1,187297,7,0,1,Artist
Female,21,153885,86,6,6,Artist
Male,84,53500,44,3,4,Marketing
Female,5,69443,28,4,6,Doctor
Female,47,124072,56,0,7,Lawyer
Female,96,135800,29,0,7,Healthcare
Male,93,120597,96,2,4,Artist
Female,16,91358,11,1,4,Entertainment
Male,56,53231,41,0,5,Marketing
Female,76,156330,31,1,2,Engineer
Male,0,186002,80,15,2,Doctor
Female,70,111760,53,12,5,Executive
Female,47,143906,12,4,3,Artist
Male,13,182410,22,11,4,Healthcare
Male,86,98463,46,10,5,Homemaker
Male,91,93762,28,15,7,Artist
Male,97,104582,50,8,2,Healthcare
Male,20,130813,92,17,5,Artist
Female,11,59202,92,5,4,Healthcare
Female,28,79968,45,9,2,Lawyer
Male,32,104824,42,0,7,Artist
Male,82,188719,30,0,6,Lawyer
Male,39,187536,66,3,6,Healthcare
Male,7,134008,85,2,1,Entertainment
Female,13,176397,71,6,3,Artist
Female,34,154888,43,9,6,Healthcare
Male,76,155622,81,0,2,Healthcare
Female,30,62330,60,1,1,Healthcare
Female,69,112838,34,1,7,Healthcare
Male,22,58283,59,2,4,Homemaker
Female,60,77857,81,1,6,Artist
Male,66,125024,25,0,1,Artist
Female,57,136242,34,9,1,Artist
Female,60,81934,81,1,4,Healthcare
Female,59,130511,97,3,4,Artist
Female,54,144502,88,3,1,Lawyer
Male,90,63769,6,4,2,Artist
Female,14,66760,20,0,4,Artist
Female,34,135115,54,1,7,Entertainment
Female,85,179877,17,12,4,Healthcare
Female,83,93351,65,1,1,Doctor
Male,12,84547,96,3,3,Homemaker
Male,95,121725,3,12,3,
Male,41,65723,91,6,7,Artist
Female,38,96794,96,6,3,Healthcare
Male,68,72352,61,8,5,Healthcare
Female,4,53097,21,0,7,Healthcare
Female,5,144831,17,1,3,Artist
Female,3,183851,10,1,2,Doctor
Female,20,111896,90,1,3,Executive
Female,3,64824,30,1,1,Executive
Male,36,88565,16,1,5,Healthcare
Female,70,104974,63,1,1,Artist
Female,17,167060,47,1,5,Artist
Female,31,69018,17,6,1,Artist
Female,48,174109,96,0,1,Entertainment
Male,28,62186,29,0,1,Marketing
Male,97,183783,70,9,3,Healthcare
Male,81,83771,1,1,2,Artist
Female,37,148196,91,0,2,Artist
Male,85,131742,87,1,1,Entertainment
Female,78,59971,94,14,7,Homemaker
Female,13,88960,2,13,3,Entertainment
Female,53,140107,38,1,5,Healthcare
Female,41,161896,49,1,3,Entertainment
Female,9,57272,60,1,1,Engineer
Male,20,119952,2,8,2,Healthcare
Female,98,167197,63,1,5,Doctor
Female,44,186116,2,8,6,Healthcare
Female,66,134677,59,15,5,Healthcare
Female,58,180479,74,0,3,Healthcare
Male,97,112783,21,9,6,Artist
Male,13,150258,17,0,3,Doctor
Male,48,115832,92,2,2,Artist
Female,47,104834,44,0,7,Artist
Male,93,152571,66,14,5,Doctor
Female,11,162287,45,3,2,Engineer
Female,68,171761,59,1,6,Doctor
Female,87,77709,73,0,1,Artist
Female,22,95053,17,1,2,Entertainment
Male,89,74820,33,1,2,Doctor
Male,57,152267,92,9,5,Engineer
Male,91,71925,14,4,2,Artist
Female,84,151340,95,1,7,Artist
Male,56,162921,51,0,4,Executive
Female,26,52234,30,1,2,Executive
Female,56,100271,87,1,5,Artist
Female,6,170266,23,3,2,Artist
Female,33,88763,1,1,1,Entertainment
Female,89,107359,26,10,6,
Male,99,164781,83,0,2,Engineer
Female,25,156016,85,2,1,Artist
Female,96,186882,40,1,7,Entertainment
Female,35,99300,88,5,2,Homemaker
Male,16,58127,65,0,3,Marketing
Female,81,89211,12,1,7,Doctor
Female,7,148607,59,1,7,Homemaker
Female,31,139592,62,1,1,Marketing
Female,16,172051,62,1,3,Healthcare
Male,89,57033,99,0,4,Artist
Male,84,117612,63,0,6,Engineer
Male,40,185321,96,0,7,Artist
Female,17,186577,5,8,5,Healthcare
Male,0,151298,89,0,6,Artist
Female,69,123925,52,1,7,Artist
Female,17,169496,12,11,6,Lawyer
Female,0,142892,25,8,1,Entertainment
Female,34,58979,3,9,5,Entertainment
Female,51,141416,100,15,1,Healthcare
Male,54,104854,67,1,7,Healthcare
Female,19,180331,14,17,5,Artist
Female,99,172896,13,0,3,Engineer
Female,2,101451,82,4,3,Healthcare
Female,91,189974,37,8,1,Engineer
Male,65,90084,65,1,6,Artist
Female,47,112247,24,4,5,Executive
Female,91,181775,61,4,5,Artist
Female,64,59088,31,1,3,Artist
Female,91,60856,23,1,6,Artist
Male,32,149900,34,6,3,Artist
Male,15,142776,98,8,5,Engineer
Male,22,162598,84,8,3,Artist
Female,37,146195,89,4,4,Healthcare
Male,83,135268,53,4,5,Lawyer
Female,89,136037,1,5,1,Marketing
Female,33,111191,67,9,4,Artist
Female,13,144111,62,12,5,Entertainment
Female,71,177359,56,6,2,Doctor
Female,10,112818,85,15,7,Marketing
Male,49,53509,98,5,4,Artist
Female,9,168269,75,10,2,Executive
Female,53,86766,2,16,3,Lawyer
Female,63,52661,25,12,5,Healthcare
Female,46,148520,14,11,5,Healthcare
Male,42,149936,52,15,3,Artist
Female,73,102296,31,7,5,Entertainment
Male,75,178416,16,10,7,Executive
Female,49,83788,41,15,1,Doctor
Female,96,184771,77,8,5,Engineer
Female,52,70302,88,14,3,Executive
Female,15,58639,51,5,7,Entertainment
Male,91,97879,40,15,7,Entertainment
Male,22,64707,29,7,3,Entertainment
Male,62,71795,87,8,1,Healthcare
Male,41,76567,85,16,1,Doctor
Male,61,126370,20,11,4,
Female,71,154007,32,7,7,Artist
Female,91,69720,78,17,6,Lawyer
Female,94,85265,68,7,6,Executive
Female,3,155864,31,13,3,Healthcare
Female,15,99421,72,8,7,Artist
Female,96,145457,57,2,1,Executive
Male,12,118041,77,9,2,Artist
Female,23,73759,83,0,7,Doctor
Male,94,90082,17,5,7,Artist
Female,7,74928,12,0,6,Artist
Female,74,101352,36,0,5,Lawyer
Female,52,93947,81,9,2,Healthcare
Male,39,134629,23,1,6,Engineer
Male,72,101858,70,8,6,Healthcare
Female,55,165501,47,10,4,Artist
Male,29,135931,74,5,1,Lawyer
Male,38,103356,20,1,6,Marketing
Female,44,75195,79,1,3,Artist
Male,58,123083,44,6,5,Entertainment
Male,77,73884,30,1,2,Healthcare
Female,56,91180,61,1,7,Entertainment
Male,79,86235,52,0,2,Artist
Female,97,96400,4,1,7,Doctor
Male,78,83599,12,1,6,Healthcare
Female,91,82535,50,0,1,Healthcare
Male,35,92227,8,0,5,Lawyer
Female,43,150444,27,13,4,Artist
Female,37,149095,83,1,2,Lawyer
Male,63,113605,42,3,3,Artist
Female,16,93854,82,0,7,Healthcare
Male,32,118280,92,0,5,Artist
Male,91,94576,90,0,1,Artist
Female,33,129257,70,6,3,Executive
Female,57,70373,10,2,6,Healthcare
Female,43,77600,66,0,1,Healthcare
Female,26,113707,97,0,5,Entertainment
Female,59,189672,8,0,7,Doctor
Female,61,143180,58,0,5,Artist
Female,59,174890,14,3,4,Marketing
Male,66,121377,19,7,7,
Male,26,154857,13,0,7,Healthcare
Female,67,160945,51,0,5,Healthcare
Female,85,119557,35,0,2,Artist
Female,76,187141,33,0,7,Doctor
Female,57,97468,22,0,1,Artist
Female,77,160351,77,8,5,Lawyer
Female,66,178627,94,1,2,Healthcare
Female,49,170188,80,1,6,Lawyer
Female,36,166007,40,1,4,Doctor
Male,74,91794,83,0,7,Entertainment
Female,16,189072,86,6,3,Artist
Male,27,152717,15,1,6,Executive
Female,3,158549,98,0,3,Executive
Male,31,134263,94,1,3,Marketing
Female,30,148236,28,1,1,Executive
Male,94,171677,81,0,6,Artist
Female,31,189446,38,1,6,Artist
Male,49,106633,53,0,3,Artist
Male,49,81084,48,6,5,Executive
Male,53,148759,52,7,7,Doctor
Female,3,117638,95,2,7,Healthcare
Female,91,159537,37,4,1,Doctor
Male,26,79526,6,9,7,Marketing
Male,28,101414,64,8,1,
Female,92,109519,72,1,4,Entertainment
Female,59,156880,70,0,7,Artist
Male,15,157278,58,0,6,Artist
Female,23,144916,84,1,7,Engineer
Male,54,59163,100,3,3,Marketing
Female,93,93991,49,1,3,Artist
Female,65,58318,45,1,1,Doctor
Female,13,180786,88,1,5,Lawyer
Male,71,84622,45,0,6,Doctor
Male,1,92674,59,8,4,Artist
Female,57,87553,94,1,1,Artist
Male,14,74174,79,1,2,Entertainment
Female,77,180831,33,1,2,Healthcare
Female,89,137397,33,1,7,Doctor
Male,17,96154,100,1,4,Artist
Male,86,172477,69,1,3,Entertainment
Male,42,59954,37,4,4,Executive
Female,29,112240,95,0,4,Entertainment
Female,54,145679,35,0,2,Artist
Male,96,136265,49,12,5,Artist
Female,58,74869,12,0,3,Healthcare
Female,52,109425,46,0,1,Engineer
Female,3,126015,57,0,1,Healthcare
Female,13,156951,66,4,7,Healthcare
Female,3,127172,68,1,2,Healthcare
Male,89,113834,22,0,3,Doctor
Male,83,132005,2,0,5,Entertainment
Female,80,171323,78,10,4,Lawyer
Female,74,92355,87,1,4,Entertainment
Male,42,60982,3,0,5,Healthcare
Female,91,51742,33,8,3,Artist
Female,31,138612,71,9,2,Executive
Male,8,158123,84,1,1,Artist
Male,64,164675,65,0,5,Executive
Female,41,172882,27,8,7,Healthcare
Female,62,70119,93,0,1,Artist
Male,41,113998,26,7,7,Healthcare
Male,22,114011,40,5,7,
Male,5,57265,89,7,7,Entertainment
Female,38,130597,2,6,1,Artist
Female,88,121597,7,0,5,Engineer
Male,56,103210,100,6,6,Artist
Male,47,66308,8,0,4,Executive
Male,4,141336,93,2,1,Homemaker
Male,82,153632,76,9,7,Entertainment
Female,31,65520,71,1,2,Lawyer
Female,69,153217,83,1,6,Healthcare
Male,62,92768,75,1,1,Doctor
Female,54,132345,10,0,2,Artist
Female,60,186069,49,1,2,Marketing
Female,31,53802,32,1,7,Artist
Female,17,103739,62,6,4,Healthcare
Female,15,50550,34,9,7,Healthcare
Female,37,145648,21,7,6,Healthcare
Male,36,85737,37,0,3,Executive
Female,27,99950,20,0,4,Entertainment
Female,11,83220,21,7,4,Engineer
Male,83,73410,50,8,5,Entertainment
Female,71,64310,43,2,1,Marketing
Female,20,59844,79,0,1,Doctor
Male,3,67787,1,1,6,Executive
Male,52,172841,4,0,1,Engineer
Male,75,145528,61,1,2,Healthcare
Male,36,173807,42,0,2,Artist
Male,60,185794,69,7,1,Entertainment
Male,8,119780,71,1,3,Healthcare
Female,9,158596,86,1,2,Artist
Female,41,118122,52,0,6,Entertainment
Male,38,99964,11,7,4,Healthcare
